Food Item,Carbon kg CO2eq/kg,Category
date,0.6,Vegan
olives,0.64,Vegan
raisin,0.81,Vegan
barley,0.48,Vegan
maize,0.48,Vegan
millet,0.86,Vegan
oat,0.67,Vegan
quinoa,0.97,Vegan
rice,2.19,Vegan
rye,0.38,Vegan
sorghum,0.88,Vegan
wheat,0.57,Vegan
clementine,0.41,Vegan
lemon,0.22,Vegan
lime,0.22,Vegan
mandarin,0.45,Vegan
orange,0.3,Vegan
pomelo,0.51,Vegan
tangerin,0.38,Vegan
apple,0.25,Vegan
apricot,0.3,Vegan
avocado,0.54,Vegan
banana,0.34,Vegan
carrob,1.1,Vegan
cherry,0.46,Vegan
fig,0.26,Vegan
grapes,0.31,Vegan
guava,0.28,Vegan
kiwi,0.49,Vegan
mango,0.31,Vegan
melon,0.61,Vegan
peach,0.39,Vegan
pear,0.27,Vegan
pineapple,0.28,Vegan
plum,0.26,Vegan
pomegranate,0.32,Vegan
rockmelon,0.39,Vegan
watermelon,0.52,Vegan
mushroom,2.06,Vegan
cucumber,2.55,Vegan
eggplant,2.9,Vegan
exotic fruit,2.43,Vegan
gerkin,2.12,Vegan
green bean (fresh),0.28,Vegan
lettuce,2.67,Vegan
pepper,3.73,Vegan
pepper,1.18,Vegan
raspberry,7.35,Vegan
strawberry,2.88,Vegan
tomato,2.43,Vegan
tomato,0.91,Vegan
zucchini,1.77,Vegan
avocado,1.09,Vegan
banana,0.82,Vegan
coconut,1.78,Vegan
exotic fruit,2.43,Vegan
pineapple,0.55,Vegan
pomegranate,1.17,Vegan
strawberry,0.84,Vegan
bean,0.43,Vegan
chickpea,0.77,Vegan
cowpea,0.49,Vegan
green bean (fresh),0.52,Vegan
lentil,1.03,Vegan
pea,0.45,Vegan
soybean,0.56,Vegan
almond,1.88,Vegan
cashew nut,1.38,Vegan
chestnut,0.44,Vegan
hazelnut,1.11,Vegan
mixed nuts,0.47,Vegan
palm nut,0.8,Vegan
peanut,0.83,Vegan
pistachio,1.6,Vegan
walnut,2.06,Vegan
rape seed,0.78,Vegan
sesam seed,0.88,Vegan
sunflower seed,1.16,Vegan
artichoke,0.33,Vegan
asparagus,0.83,Vegan
beetroot,0.25,Vegan
broccoli,0.57,Vegan
cabagge,0.23,Vegan
carrot,0.24,Vegan
cauliflower,0.31,Vegan
celery,0.32,Vegan
chilly,0.8,Vegan
eggplant,0.19,Vegan
fennel,0.48,Vegan
garlic,0.71,Vegan
gerkin,0.21,Vegan
ginger,0.88,Vegan
lettuce,0.41,Vegan
onion,0.22,Vegan
pepper,0.65,Vegan
potato,0.24,Vegan
pumpkin,0.24,Vegan
radish,0.15,Vegan
spinach,0.34,Vegan
starchy roots,0.29,Vegan
swede,0.29,Vegan
sweet potato,0.27,Vegan
tomato,0.45,Vegan
turnip,0.35,Vegan
vegetables,0.54,Vegan
zucchini,0.7,Vegan
blackberry,0.42,Vegan
blueberry,0.78,Vegan
cranberry,0.87,Vegan
currant,0.64,Vegan
gooseberry,0.84,Vegan
raspberry,0.63,Vegan
strawberry,0.61,Vegan
