Food Item,Carbon kg CO2eq/kg,Category
butter,8.48,Vegetarian
cream,5.45,Vegetarian
mascarpone,5.7,Vegetarian
mozzarella,8.2,Vegetarian
ricotta,3.4,Vegetarian
stracchino,4.92,Vegetarian
asiago,10.24,Vegetarian
camembert,7.55,Vegetarian
ceddar,11.21,Vegetarian
cheese,8.93,Vegetarian
cheese semi-hard,8.65,Vegetarian
emmental,8.2,Vegetarian
goat cheese,8.35,Vegetarian
grana padano,15.34,Vegetarian
parmigiano reggiano,12.54,Vegetarian
pecorino,17.15,Vegetarian
eggs,3.2,Vegetarian
honey,1.74,Vegetarian
buffalo milk,3.57,Vegetarian
cow milk,1.31,Vegetarian
goat milk,1.44,Vegetarian
"yogurt, flavoured",2.85,Vegetarian
"yogurt, lactose free",3.47,Vegetarian
"yogurt, white",1.69,Vegetarian
