group,category,name,footprint
drinks,soft drinks,"Almond drink not sweet, not fortified, prepacked",0.37161937
drinks,soft drinks,"Apple juice, pure juice",0.50060083
"fruits, vegetables, pulses and oilseeds",fruits,"Apple, Canada, pulp, raw",0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,"Apple, pulp and peel, raw",0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,"Apple, pulp, raw",0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,"Apple, var. Golden, pulp and skin, raw",0.46210253
drinks,soft drinks,Apricot nectar,0.33195912
"fruits, vegetables, pulses and oilseeds",fruits,"Apricot, canned in light syrup, not drained",0.54492743
"fruits, vegetables, pulses and oilseeds",fruits,"Apricot, in syrup, canned, not drained",0.54492743
baby food,baby deserts,Baby food jar with banana,0.67214369
baby food,baby deserts,Baby food jar without banana,0.67214369
cereal products,bread and viennoiseries,Bagel,0.78919318
drinks,soft drinks,Banana nectar,0.46752188
cereal products,flour and pie dough,Barley flour,0.71979208
cereal products,"pasta, rice and cereals","Barley, whole, raw",0.78669561
"fruits, vegetables, pulses and oilseeds",pulses,"Beans, mung, mature, seeds, dry",0.67170957
"fruits, vegetables, pulses and oilseeds",vegetables,"Beetroot, raw",0.3643211
drinks,soft drinks,"Black tea, brewed, without sugar",0.039161353
drinks,soft drinks,"Bottled water, flavoured, w sugar",0.38633289
drinks,soft drinks,"Bottled water, flavoured, without sugar and artificial sweeteners",0.38633289
drinks,soft drinks,"Bottled water, flavoured, without sugar and with artificial sweeteners",0.38633289
cereal products,bread and viennoiseries,Bran grain bread,0.62883948
cereal products,bread and viennoiseries,"Bread (baguette or ball), made with type T55-T110 flour",0.737473
cereal products,bread and viennoiseries,"Bread, French bread (baguette or ball), with yeast",0.6599294
cereal products,bread and viennoiseries,"Bread, French bread, baguette",0.68666587
cereal products,bread and viennoiseries,"Bread, French bread, baguette, unsalted",0.68666587
cereal products,bread and viennoiseries,"Bread, French bread, ball, 400g",0.68666587
cereal products,bread and viennoiseries,"Bread, French bread, without salt",0.68666587
cereal products,bread and viennoiseries,"Bread, home-made, with flour for home-made bread preparation",0.68666587
cereal products,bread and viennoiseries,"Bread, wholemeal or integral bread (made with flour type 150)",0.68858077
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Breadfruit, raw",0.42500525
"fruits, vegetables, pulses and oilseeds",pulses,"Broad bean, cooked",0.41844255
"fruits, vegetables, pulses and oilseeds",pulses,"Broad bean, fresh, frozen",0.50378806
"fruits, vegetables, pulses and oilseeds",pulses,"Broad bean, frozen, water boiled",0.50378806
"fruits, vegetables, pulses and oilseeds",pulses,"Broad bean, without peal, frozen, water boiled",0.50378806
starters and mixed dishes,soups,"Broth, stock or bouillon, beef",0.14308862
starters and mixed dishes,soups,"Broth, stock or bouillon, poultry",0.13348626
starters and mixed dishes,soups,"Broth, stock or bouillon, vegetables",0.13199186
cereal products,bread and viennoiseries,"Brown bread, French bread (baguette or ball), with flour type 80 or 110",0.68666587
"fruits, vegetables, pulses and oilseeds",vegetables,"Brussels sprout, raw",0.57581867
"fruits, vegetables, pulses and oilseeds",vegetables,"Butter bean or yellow bean, raw",0.5056327
"fruits, vegetables, pulses and oilseeds",fruits,"Carambola, pulp, raw",0.5330489
"fruits, vegetables, pulses and oilseeds",vegetables,"Cardoon, raw",0.75635927
drinks,soft drinks,"Carrot juice, pure juice",0.34938729
"fruits, vegetables, pulses and oilseeds",vegetables,"Carrot, frozen, raw",0.73471505
"fruits, vegetables, pulses and oilseeds",vegetables,"Carrot, raw",0.3643211
"fruits, vegetables, pulses and oilseeds",vegetables,"Carrots, puree",0.66622288
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Cassava or manioc, roots, raw",0.53380541
"fruits, vegetables, pulses and oilseeds",vegetables,"Cauliflower, raw",0.73551222
"fruits, vegetables, pulses and oilseeds",vegetables,"Celeriac, puree",0.631843
"fruits, vegetables, pulses and oilseeds",vegetables,"Celeriac, raw",0.45782909
culinary aids and various ingredients,salt,Celery salt,0.6040639
"fruits, vegetables, pulses and oilseeds",vegetables,"Celery stalk, raw",0.67701809
"fruits, vegetables, pulses and oilseeds",pulses,"Chick pea, cooked",0.43492692
drinks,soft drinks,"Chicory, powder, instant, ready-to-drink",0.11762172
"fruits, vegetables, pulses and oilseeds",vegetables,"Chinese or Japanese artichokes, frozen, raw",0.66202276
culinary aids and various ingredients,herbs,"Chive or spring onion, fresh",0.676515
drinks,soft drinks,Coconut milk or coconut cream,0.5064675
drinks,soft drinks,"Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink",0.49800561
drinks,soft drinks,"Cola, with sugar and artificial sweetener(s)",0.51122506
drinks,soft drinks,"Cola, with sugar and without caffeine",0.51122506
drinks,soft drinks,"Cola, with sugar",0.51122506
drinks,soft drinks,"Cola, without sugar and with artificial sweetener(s)",0.51122506
drinks,soft drinks,"Cola, without sugar, with artificial sweetener(s) and with caffeine",0.51122506
cereal products,bread and viennoiseries,"Country-style bread, French bread (baguette or ball)",0.68858077
cereal products,bread and viennoiseries,"Country-style bread, home-made (with flour for bread making machine)",0.68858077
"fruits, vegetables, pulses and oilseeds",vegetables,"Courgette or zucchini, pulp and peel, raw",0.48351979
cereal products,"pasta, rice and cereals","Couscous (durum wheat semolina pre-cooked with steam), cooked, unsalted",0.7109528
"fruits, vegetables, pulses and oilseeds",vegetables,"Cucumber, pulp and peel, raw",0.4732012
"fruits, vegetables, pulses and oilseeds",vegetables,"Cucumber, pulp, raw",0.4732012
"fruits, vegetables, pulses and oilseeds",vegetables,"Curly endive, raw",0.62544862
"fruits, vegetables, pulses and oilseeds",vegetables,"Curly kale, raw",0.72817912
culinary aids and various ingredients,sauces,"Curry sauce, prepacked",0.79730838
drinks,soft drinks,"Decaffeinated not instant coffee, without sugar, ready-to-drink",0.63979393
cereal products,"pasta, rice and cereals","Dried pasta, gluten-free, cooked, unsalted",0.78633499
starters and mixed dishes,mixed dishes,"Durum wheat pre-cooked, whole grain, cooked, to pan-fry",0.48414856
cereal products,"pasta, rice and cereals","Durum wheat pre-cooked, whole grain, cooked, unsalted",0.61000667
starters and mixed dishes,mixed dishes,"Durum wheat, pre-cooked, cooked, in a microwaveable bag",0.48323807
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Early potato, boiled/cooked in water, peeled",0.64971087
"fruits, vegetables, pulses and oilseeds",vegetables,"Eggplant, raw",0.45710934
drinks,soft drinks,"Energy drink, with sugar",0.4710064
drinks,soft drinks,"Energy drink, without sugar and with artificial sweetener(s)",0.4710064
drinks,soft drinks,"Espresso coffee, not instant coffee, without sugar, ready-to-drink",0.59422465
"fruits, vegetables, pulses and oilseeds",fruits,"Fig, raw",0.61354989
"fruits, vegetables, pulses and oilseeds",pulses,"Flageolet bean, cooked",0.41844255
"fruits, vegetables, pulses and oilseeds",pulses,"flageolet bean, frozen",0.50378806
"fruits, vegetables, pulses and oilseeds",pulses,"Flageolet bean, green, cooked",0.41844255
"fruits, vegetables, pulses and oilseeds",vegetables,"Flat bean, raw",0.5056327
"fruits, vegetables, pulses and oilseeds",vegetables,"French bean, frozen, raw",0.66805842
"fruits, vegetables, pulses and oilseeds",vegetables,"French bean, puree",0.75764983
"fruits, vegetables, pulses and oilseeds",vegetables,"French bean, raw",0.41306197
cereal products,"pasta, rice and cereals","Frik (crushed immature durum wheat), cooked, unsalted",0.7109528
"fruits, vegetables, pulses and oilseeds",fruits,"Fruit cocktail or salad, canned in light syrup, not drained",0.62644903
"fruits, vegetables, pulses and oilseeds",fruits,"Fruit cocktail or salad, canned in syrup, not drained",0.62644903
